1000 5000
463 365 5
463 909 4
463 846 3
463 841 5
463 686 7
463 103 7
464 5 4
464 152 9
464 978 8
464 627 2
464 769 6
465 350 3
465 153 6
465 140 5
465 761 8
466 556 3
466 294 1
466 939 6
466 547 4
467 969 3
467 610 1
467 287 5
467 308 2
467 437 7
467 202 9
468 373 5
468 963 3
468 405 3
468 79 4
468 154 9
468 506 3
469 590 8
469 81 4
469 359 7
469 664 5
469 840 4
469 308 1
470 524 10
470 350 5
470 75 3
470 593 4
471 383 1
471 718 3
471 935 7
471 186 4
471 755 9
472 857 8
472 671 8
472 347 8
473 833 5
473 117 3
473 240 6
473 189 10
473 576 2
473 799 6
473 725 2
473 866 7
473 742 10
473 784 3
474 750 2
474 825 6
474 379 6
474 401 8
475 861 1
475 31 9
475 806 1
475 857 2
475 807 1
476 825 9
476 627 8
477 610 3
477 856 8
477 568 10
477 625 3
477 512 9
478 641 6
478 911 3
478 782 4
478 400 9
479 448 7
479 721 10
479 179 1
479 148 5
479 674 8
480 114 8
480 203 5
480 698 10
481 343 7
481 411 5
481 870 6
481 344 2
482 502 10
482 847 5
482 944 9
482 116 3
482 585 2
482 24 6
482 970 2
482 126 10
482 199 6
483 159 7
483 301 5
483 205 10
483 72 6
483 435 8
483 396 10
483 358 8
484 471 2
484 506 10
484 307 7
484 740 1
484 330 4
484 344 9
484 243 1
484 751 8
484 687 2
485 419 5
485 74 5
485 680 1
485 248 9
486 806 1
486 31 3
486 874 3
486 845 5
487 801 2
487 53 1
487 461 3
487 107 2
488 282 8
488 496 10
488 896 10
488 579 7
488 424 3
489 981 3
489 97 5
490 564 10
490 204 8
490 248 7
490 205 2
490 600 9
491 484 6
491 287 10
491 624 10
492 33 5
492 44 8
492 658 6
492 741 7
493 731 2
493 586 1
494 651 5
494 962 4
494 670 6
494 216 6
494 150 5
495 659 8
495 598 2
495 304 1
495 362 1
495 245 1
495 198 4
495 356 9
495 127 10
496 703 1
496 308 6
497 449 1
497 369 4
497 21 8
497 350 7
498 876 3
498 588 6
498 3 7
498 343 9
499 313 9
499 210 6
499 84 9
500 563 9
501 662 4
501 490 9
501 555 3
501 423 7
501 560 5
502 897 6
502 243 4
502 632 5
502 881 8
502 519 4
502 60 9
503 718 6
503 132 8
503 605 3
503 581 10
503 511 8
503 828 7
503 678 6
503 181 5
504 898 7
504 14 2
504 510 9
505 88 5
505 107 2
505 173 1
505 972 6
505 500 5
506 530 2
507 478 9
507 842 8
507 771 6
507 466 6
507 486 2
507 981 4
508 590 2
508 900 9
508 734 2
508 88 6
508 113 3
508 405 8
509 590 3
509 52 1
509 31 1
509 896 6
509 391 3
510 239 5
510 491 4
510 242 1
510 899 9
511 602 6
511 945 6
511 354 7
511 876 4
511 295 3
512 846 3
512 859 3
512 452 10
512 933 3
512 765 1
512 63 10
512 652 2
512 804 7
513 350 1
513 842 2
513 814 6
513 954 8
514 24 7
514 997 8
514 787 7
514 497 7
514 861 7
514 110 5
515 430 6
515 42 1
515 621 3
516 495 1
516 911 9
516 280 4
516 382 5
516 570 6
516 571 8
516 453 3
517 705 2
517 709 2
517 784 8
517 547 8
518 484 4
518 458 10
519 861 5
519 889 2
519 905 5
519 97 2
520 35 9
520 280 1
520 377 1
520 974 8
520 710 6
521 827 8
521 711 6
521 456 5
521 163 2
522 588 10
522 561 3
522 831 7
522 374 7
522 804 8
522 957 7
522 611 8
523 74 4
523 588 6
523 243 10
524 968 6
524 582 10
524 731 5
524 240 7
524 155 5
525 593 8
525 190 4
525 110 8
526 373 4
526 724 4
526 650 1
526 897 6
526 841 1
526 642 10
527 319 9
527 936 4
527 544 7
527 661 8
527 235 7
528 755 7
528 826 6
528 491 2
528 352 5
528 857 2
529 291 5
529 192 4
529 614 5
529 740 5
529 978 2
529 960 2
529 662 9
530 78 4
530 346 6
530 459 6
530 21 8
530 298 4
530 98 7
530 62 6
531 567 1
531 259 9
531 910 2
531 149 10
531 391 9
531 574 6
531 493 10
531 253 4
531 991 5
532 180 1
532 386 8
532 629 2
533 55 9
533 689 10
534 6 10
534 576 6
534 802 1
534 5 3
534 873 9
534 498 9
534 790 3
534 52 2
535 74 8
535 109 9
535 125 1
535 301 5
535 909 9
535 404 10
535 373 5
535 817 10
535 387 2
535 747 9
536 513 8
536 211 4
536 362 9
536 203 10
536 544 3
536 801 4
536 231 3
536 885 4
536 923 10
537 404 7
537 455 7
537 298 10
537 782 2
537 229 6
538 219 10
538 64 8
539 116 3
539 251 3
539 385 7
539 343 6
539 639 7
540 696 2
540 14 3
540 555 10
540 509 4
540 865 1
540 754 1
541 255 5
541 822 6
541 201 9
542 788 2
542 570 9
542 536 9
542 454 3
543 396 10
543 987 2
544 384 1
544 152 10
544 250 9
544 57 4
544 866 7
544 750 6
544 341 4
545 287 2
545 500 1
545 330 9
545 176 7
546 779 5
546 333 1
546 828 10
546 639 7
546 180 8
546 310 4
547 22 3
547 542 2
547 295 2
547 459 5
547 635 10
547 184 8
548 590 10
548 23 10
548 683 6
548 888 2
548 388 3
548 781 8
549 971 6
549 895 8
549 927 5
549 231 8
550 947 2
550 881 9
550 645 1
550 836 4
550 179 7
551 617 1
551 246 8
551 98 3
551 236 8
551 442 6
551 382 5
551 149 8
552 849 6
552 752 1
552 930 1
552 787 5
552 511 6
553 839 6
553 893 4
553 62 2
553 59 7
553 505 5
553 469 6
553 630 10
553 382 1
553 706 7
554 239 10
554 183 8
554 271 1
554 649 4
554 261 8
555 781 10
555 664 10
555 373 1
555 271 1
555 391 6
555 42 8
556 244 3
556 37 7
557 61 6
557 866 1
557 401 10
557 145 5
558 328 3
558 33 5
559 972 9
559 79 4
559 1 1
559 630 6
560 209 6
560 597 9
560 912 5
560 300 6
560 314 1
561 862 8
561 878 7
561 556 9
561 484 7
561 893 10
562 311 2
562 392 4
562 61 6
562 947 1
563 680 7
563 273 7
563 880 1
563 471 1
563 24 8
563 274 3
563 473 10
564 549 3
564 406 2
564 790 5
564 978 10
564 622 1
564 237 1
565 525 8
565 477 1
565 772 4
565 222 1
565 913 10
566 982 2
566 732 4
566 37 8
566 3 6
566 393 3
566 588 5
566 661 2
566 944 8
567 180 9
567 252 8
567 351 1
567 958 1
567 101 9
568 345 6
568 177 1
569 335 7
569 640 2
569 654 10
569 267 9
569 211 1
570 648 3
570 20 2
571 28 7
571 575 3
571 382 6
571 744 2
572 616 5
572 895 6
572 398 2
572 216 8
572 937 9
572 926 4
573 859 1
573 536 2
573 947 4
573 922 1
573 693 4
575 245 8
575 373 9
575 970 2
575 543 7
575 943 10
576 325 7
576 832 4
576 198 1
576 392 9
577 181 1
577 77 6
577 545 1
578 821 9
578 519 4
578 526 5
578 721 1
578 516 1
579 476 1
579 80 4
579 955 7
579 303 5
579 896 7
579 562 10
579 363 3
579 529 5
579 120 5
579 419 10
579 436 10
580 285 4
580 149 8
580 809 7
580 238 2
580 470 6
580 359 5
581 992 7
581 202 10
581 601 3
581 835 8
581 684 8
582 490 1
582 898 2
582 893 5
582 598 4
583 296 2
583 564 2
584 560 8
584 608 9
584 488 5
585 902 10
585 335 4
585 974 6
585 551 1
585 867 2
585 536 9
585 36 2
586 400 3
586 987 5
588 141 1
588 142 10
588 242 1
588 760 4
588 987 8
590 913 9
590 525 4
590 463 6
590 34 10
590 544 9
591 331 4
591 184 5
591 300 3
591 920 10
591 185 2
592 453 1
592 408 6
592 201 2
593 237 8
593 353 3
593 873 2
593 425 1
593 546 3
594 97 8
594 682 3
594 233 3
594 942 1
595 552 6
595 991 1
595 208 3
595 946 5
595 383 8
595 130 3
595 8 6
596 142 4
596 747 6
596 581 6
596 138 2
597 912 4
597 707 4
597 603 10
597 338 9
597 834 10
597 502 9
597 985 2
598 825 8
598 474 6
599 33 7
599 669 3
599 99 4
599 432 5
600 922 1
600 858 3
600 621 6
600 333 9
600 562 1
600 16 3
600 861 4
600 693 2
601 744 10
601 665 3
601 511 3
601 790 1
601 882 10
601 974 8
601 405 10
602 234 4
602 377 4
602 816 9
602 287 1
603 748 1
603 496 10
603 140 10
603 316 5
603 280 8
603 129 1
604 510 4
604 700 5
604 774 2
605 655 9
605 804 1
605 143 7
605 956 3
606 42 5
606 880 5
606 113 4
606 425 6
607 248 10
607 46 8
607 739 7
607 923 7
607 61 5
607 769 7
607 524 1
608 176 6
608 729 9
608 726 1
608 432 1
608 819 6
608 640 7
609 109 10
609 352 8
609 770 8
609 136 4
609 240 2
610 839 1
610 821 2
610 492 4
610 332 6
610 970 3
611 443 1
611 816 7
612 735 4
612 331 9
613 80 8
613 476 1
613 856 10
613 864 9
614 498 6
614 362 6
614 349 5
614 260 7
615 876 8
615 154 8
616 831 9
616 653 10
616 31 1
616 458 10
616 357 8
616 327 2
616 14 9
616 715 5
616 169 1
616 891 6
617 683 2
617 350 9
617 69 2
617 17 6
617 587 2
617 33 6
617 689 1
617 901 9
617 912 8
617 952 6
618 178 2
618 974 8
618 158 3
618 811 10
618 947 1
618 636 3
618 656 1
618 738 9
619 168 9
619 317 6
619 611 7
619 144 1
619 582 8
619 294 4
619 449 8
620 283 8
620 403 5
620 157 6
620 844 5
620 955 1
620 695 4
621 803 7
621 10 8
621 187 6
621 333 6
621 448 5
622 569 5
622 294 10
622 981 3
623 92 1
623 28 9
623 599 8
623 794 1
623 123 4
623 555 2
624 986 10
624 961 8
624 746 2
624 832 3
624 621 8
624 765 1
624 201 2
625 41 5
625 719 5
625 50 9
625 374 1
625 63 9
626 72 1
626 636 2
626 136 10
626 662 5
627 454 8
627 873 2
627 742 9
627 759 10
627 938 10
627 121 2
627 363 5
627 327 10
628 797 2
628 635 7
628 856 1
629 672 6
629 2 5
629 896 1
629 697 1
630 890 6
630 882 4
630 435 8
630 664 1
630 233 4
631 775 9
631 31 6
631 763 1
632 150 6
632 327 9
632 356 10
633 777 5
633 846 6
633 60 9
633 695 8
633 388 6
633 35 4
633 680 4
634 69 6
635 280 2
635 547 6
635 727 5
635 559 10
635 276 9
635 122 3
635 592 6
635 844 8
636 466 8
636 767 5
636 290 7
636 520 6
636 122 1
636 24 4
637 267 7
637 413 2
637 175 2
638 909 9
638 685 10
638 244 5
638 557 10
638 799 3
639 341 9
639 299 4
639 255 4
639 636 7
640 437 5
640 532 1
640 400 3
640 173 9
640 829 6
640 622 4
641 875 1
641 169 2
641 324 7
641 212 1
641 80 1
641 281 6
641 60 4
641 835 10
642 570 10
642 357 1
642 286 9
642 735 7
642 582 4
642 945 6
643 616 10
643 585 3
643 248 7
643 706 3
643 208 3
643 663 6
644 57 2
644 558 7
644 361 5
645 470 7
645 466 6
645 694 7
645 300 8
645 509 4
645 664 5
645 954 3
646 125 1
646 184 2
646 162 5
646 245 1
646 382 1
646 363 9
646 299 1
646 763 4
646 726 3
647 895 1
647 323 6
647 817 1
647 849 7
647 17 8
647 322 9
647 512 3
647 897 10
647 537 7
648 57 7
648 310 7
648 272 10
648 589 5
649 839 9
649 602 9
650 386 5
650 217 3
650 925 2
650 494 6
650 242 7
651 710 9
651 774 6
651 733 7
651 482 8
651 895 5
651 992 7
651 730 7
652 15 3
652 83 3
652 305 7
652 347 7
652 643 9
652 399 8
653 433 10
653 326 4
653 297 2
653 706 3
654 75 10
654 188 10
654 242 6
655 321 7
656 556 9
656 425 2
656 946 4
656 333 5
657 627 2
657 176 2
657 195 5
657 813 10
658 208 4
659 974 1
659 424 5
659 942 5
659 692 5
659 243 4
659 819 7
659 718 1
659 526 9
660 849 1
660 891 10
660 13 5
660 662 6
660 262 5
661 600 6
661 172 2
661 470 8
661 120 7
661 696 2
661 940 9
661 462 6
661 52 8
661 754 7
661 521 10
662 448 5
662 533 2
663 340 10
663 42 5
664 725 6
664 360 8
664 949 9
664 394 1
664 737 2
664 103 4
664 850 8
664 481 6
665 180 5
665 335 9
665 144 10
665 255 1
665 822 8
665 497 1
666 115 10
666 247 8
666 474 5
666 62 8
666 765 8
666 28 8
666 173 9
666 595 10
666 375 8
667 288 3
667 719 7
667 260 9
667 939 3
667 391 5
667 479 3
667 604 8
667 979 9
667 191 1
667 341 1
667 351 1
667 959 10
668 197 8
668 24 9
668 934 10
668 750 7
668 384 6
668 954 1
669 872 8
669 992 3
669 189 4
670 246 2
670 773 3
671 8 10
671 689 6
671 880 8
671 433 1
672 953 6
672 35 10
672 356 1
672 417 2
672 141 9
672 508 10
672 594 10
672 395 1
673 166 8
673 510 4
673 916 9
673 145 7
673 301 4
673 790 10
673 6 2
674 513 1
674 369 8
674 34 10
674 903 2
674 759 8
674 918 7
674 415 5
675 868 3
675 37 9
675 969 6
675 466 9
676 779 8
676 975 10
676 266 1
676 191 3
676 955 7
676 307 7
676 940 1
677 96 6
677 806 7
677 691 10
677 981 7
677 720 5
678 420 9
678 850 3
678 399 4
678 437 10
678 670 5
678 393 9
678 660 7
678 341 8
679 777 1
679 771 2
679 109 3
679 111 4
680 832 6
680 41 5
680 595 7
680 413 7
680 727 9
680 525 6
681 623 10
681 152 6
681 570 9
681 326 5
681 813 4
682 38 3
682 918 2
682 849 3
683 405 4
683 432 6
684 815 8
684 230 7
685 830 6
685 739 9
685 91 1
685 706 3
685 734 8
686 373 3
686 570 10
686 92 7
687 350 10
687 626 5
687 929 4
687 915 2
688 680 8
688 42 1
688 546 10
688 453 3
689 316 1
689 155 1
689 404 7
689 605 4
689 953 3
690 534 1
690 983 1
690 435 2
690 61 2
691 320 1
691 577 1
691 994 4
691 783 4
691 493 3
691 960 4
691 743 3
692 86 5
692 554 1
692 528 3
692 169 2
693 414 2
693 512 10
693 915 1
694 568 2
694 126 5
694 419 4
694 652 2
694 31 3
694 617 7
695 295 10
695 954 1
695 511 9
695 252 8
695 560 2
695 796 6
696 24 2
696 257 7
696 927 2
696 631 1
696 529 7
697 165 6
697 44 10
697 531 4
697 449 1
697 486 6
697 852 5
698 138 5
698 914 4
698 454 9
698 789 6
699 112 4
699 663 5
699 107 3
700 733 2
700 762 7
700 979 7
700 218 9
700 930 10
700 67 1
701 463 9
701 424 7
701 289 4
701 971 2
701 329 10
701 232 6
701 487 6
701 994 3
701 130 10
701 247 1
701 554 1
701 128 10
702 269 5
702 973 3
702 443 8
702 711 9
702 175 9
703 851 7
703 910 7
703 209 7
703 810 6
703 993 6
703 54 9
704 83 9
704 285 5
704 836 3
704 817 6
704 124 8
704 726 4
704 497 7
705 285 4
705 174 6
705 436 1
705 41 2
706 436 9
706 279 3
706 972 7
706 803 8
706 930 4
707 66 6
707 652 6
707 548 8
707 173 4
708 967 10
708 412 5
708 256 2
708 159 5
709 839 3
709 413 2
709 718 2
709 179 2
709 726 9
710 818 7
710 236 6
710 173 5
711 139 7
711 875 4
711 568 3
711 817 4
711 463 4
711 277 10
712 72 7
712 8 4
712 593 4
712 715 5
712 479 3
712 801 5
712 366 4
712 244 4
713 544 10
713 256 9
713 153 10
713 958 5
713 558 9
713 539 5
713 230 4
713 102 8
713 582 5
714 566 8
714 595 7
714 310 4
714 438 5
715 436 9
715 661 5
715 265 5
715 491 1
715 703 10
715 251 7
715 796 4
715 926 8
715 722 9
716 416 7
716 157 2
716 920 9
716 624 3
716 804 7
717 167 1
717 843 8
717 291 9
717 423 1
718 161 10
718 61 2
718 744 10
718 637 2
719 314 5
719 744 6
719 889 5
719 173 5
719 976 6
719 453 3
719 543 7
719 902 8
720 581 8
720 222 6
720 892 10
720 578 6
720 589 5
720 914 10
720 691 1
721 367 9
721 667 1
722 479 4
722 635 1
722 157 7
722 224 5
723 113 7
723 41 9
723 978 4
723 921 5
723 838 10
724 722 5
724 388 1
724 413 1
725 676 9
725 4 4
726 96 3
726 311 2
726 403 6
726 692 4
726 230 5
726 669 8
726 557 2
727 803 5
727 150 5
727 217 1
727 611 7
727 101 9
727 822 9
728 557 9
728 709 4
728 661 7
728 943 1
728 556 3
729 850 7
729 232 9
729 147 9
730 352 4
730 868 2
730 351 2
730 671 5
730 103 5
731 473 1
731 249 9
731 829 1
731 330 10
732 198 6
732 359 6
732 983 7
733 353 3
733 76 2
733 379 8
733 539 9
733 412 2
733 344 1
733 777 1
734 157 6
734 48 7
734 669 2
734 522 7
734 10 6
735 597 10
735 42 5
735 175 3
735 586 2
735 470 4
735 460 7
735 161 5
736 278 3
736 856 9
736 631 9
736 100 3
736 257 4
736 913 5
736 538 8
736 189 9
737 199 3
737 744 8
737 886 6
737 15 4
737 17 5
738 931 3
738 676 7
738 752 6
738 224 7
738 32 1
739 376 3
739 962 10
739 309 5
740 954 7
740 839 7
740 947 4
740 384 2
741 252 1
741 440 2
741 333 6
741 589 9
741 668 1
741 393 10
742 195 1
742 951 9
742 412 10
742 386 3
742 921 2
742 847 8
742 778 8
743 986 5
743 80 7
743 886 6
743 327 8
743 360 9
743 729 4
744 155 3
744 883 1
744 361 1
744 274 10
744 899 10
744 296 4
745 480 6
745 16 10
745 433 2
745 741 5
746 108 5
746 506 8
746 253 10
746 735 10
747 11 9
747 104 2
747 445 7
747 1 9
748 372 9
748 72 8
748 791 4
748 302 6
748 357 3
748 612 9
748 705 7
748 767 9
748 246 6
748 410 10
748 190 1
748 154 6
749 436 4
749 321 7
749 908 1
750 233 5
750 974 1
750 921 8
750 430 2
750 889 1
751 60 9
751 415 7
751 500 6
752 295 8
752 131 6
752 222 5
752 690 3
753 52 3
753 639 1
754 372 4
754 402 10
754 129 7
754 856 9
754 87 10
755 575 4
755 309 2
755 880 3
755 245 3
755 978 4
755 562 2
756 130 1
756 752 10
756 400 8
757 785 1
757 912 10
757 511 6
757 556 9
757 270 3
757 72 2
758 486 5
758 763 4
758 716 6
758 551 2
758 754 9
758 196 7
758 267 9
758 537 6
759 955 7
759 133 8
759 300 3
759 488 1
759 864 2
760 946 7
760 212 2
760 996 10
760 195 5
761 323 6
761 541 7
761 581 9
761 427 9
761 934 5
762 95 10
762 835 5
762 298 7
762 374 1
762 597 1
762 160 9
763 737 6
763 554 9
763 374 4
763 853 7
763 594 6
763 827 4
763 758 7
764 262 10
764 243 10
764 516 1
764 79 10
764 3 6
765 94 7
765 272 3
765 605 3
765 180 8
765 595 3
766 611 2
766 188 7
766 983 4
766 820 9
767 785 4
767 289 4
767 178 10
767 67 9
767 313 9
767 211 3
768 517 8
768 790 5
768 962 3
768 4 6
769 152 5
769 439 6
769 779 9
769 308 7
769 199 1
769 764 6
769 994 3
769 629 4
769 650 1
770 277 2
770 880 2
770 252 8
770 919 5
770 272 1
770 885 1
771 7 1
771 684 8
771 207 1
771 212 2
771 680 5
771 131 10
772 460 1
772 961 9
772 447 3
772 734 8
772 566 1
772 237 1
772 24 4
773 117 10
773 426 1
773 858 5
773 287 10
773 527 2
773 794 1
773 267 10
774 824 7
774 299 5
774 313 6
774 733 5
774 611 9
774 58 4
774 197 4
774 903 1
774 892 1
775 171 5
775 972 8
775 888 10
775 214 1
775 622 6
776 657 10
776 552 2
776 593 4
776 898 1
776 564 9
777 233 3
777 179 6
777 641 1
777 754 10
777 159 5
777 911 9
778 428 2
778 408 5
778 807 6
778 710 3
778 926 7
778 407 7
778 780 7
779 568 8
779 996 7
779 345 3
779 670 4
779 673 1
779 300 7
779 445 3
779 740 10
779 810 7
780 492 6
781 844 6
781 822 2
782 105 5
782 446 1
783 622 8
783 985 3
783 763 9
783 240 4
783 850 1
783 247 8
783 821 4
784 185 4
784 675 6
784 893 4
784 301 5
784 853 5
784 521 6
784 843 9
784 165 1
784 731 5
785 422 5
785 648 1
785 704 5
785 326 10
785 230 4
785 681 6
785 161 10
786 253 7
786 510 2
786 69 4
786 580 8
786 485 9
786 249 3
787 596 5
787 647 8
787 453 7
787 655 10
787 511 1
787 439 4
787 12 1
787 673 10
787 901 3
787 321 3
788 719 1
788 720 6
789 959 4
789 235 5
789 109 1
789 730 7
789 253 10
789 692 4
790 269 5
790 10 7
790 332 7
790 841 6
790 805 3
790 669 3
790 227 5
791 56 6
791 749 9
791 76 8
792 870 2
792 192 8
792 676 10
793 901 1
793 160 3
793 50 1
793 756 8
793 848 10
794 732 2
795 416 6
795 380 1
796 101 5
796 118 2
796 140 10
797 190 4
797 252 2
797 357 4
797 182 5
797 839 7
797 87 2
797 166 4
798 935 4
798 236 1
798 420 9
798 568 9
799 771 9
799 175 4
799 472 1
799 746 9
799 585 8
799 720 5
799 53 1
800 665 1
800 115 5
800 649 5
800 167 1
800 592 3
801 343 1
801 807 5
801 521 4
801 354 5
801 389 3
802 485 7
802 143 5
803 239 10
803 111 2
803 200 8
804 415 2
804 400 9
804 936 5
804 760 7
804 21 4
804 118 8
804 71 7
804 949 1
804 944 5
805 283 7
805 136 3
805 818 1
805 472 5
805 629 5
806 147 8
806 859 3
806 495 6
806 158 8
807 98 3
807 22 1
807 4 5
807 340 3
807 667 7
807 521 6
807 161 5
807 814 1
807 96 8
807 433 2
808 849 1
808 803 4
809 957 1
809 637 2
809 492 5
809 97 2
809 32 1
809 707 7
809 738 1
809 476 1
810 393 6
810 853 3
810 948 3
810 378 10
810 661 3
811 444 7
811 208 6
812 810 4
812 685 9
812 724 6
812 616 2
812 942 4
812 760 9
813 21 6
813 399 8
813 475 3
813 392 7
814 205 2
815 187 3
815 384 1
815 685 2
815 517 5
815 338 8
815 487 10
815 947 9
815 774 7
816 855 3
816 687 10
816 567 7
816 130 5
816 118 4
816 897 4
816 412 2
816 948 8
817 213 9
817 967 3
817 396 9
817 977 9
817 581 3
817 822 5
817 784 2
818 211 7
818 400 4
818 286 2
818 407 7
818 842 4
818 69 4
818 781 3
818 597 3
819 841 10
819 172 1
819 24 10
819 691 1
819 670 2
819 122 8
819 741 9
820 677 7
820 446 10
821 860 5
821 938 10
821 541 1
822 666 6
822 342 2
822 100 4
822 481 1
822 318 10
823 947 8
823 398 2
823 859 7
823 168 6
824 362 9
824 19 3
824 585 3
825 329 10
825 983 10
825 501 2
826 623 4
826 813 2
826 941 9
827 739 4
827 809 6
828 596 9
828 730 8
828 669 8
828 736 3
828 600 5
828 111 7
828 606 10
829 839 2
829 397 10
829 16 4
829 484 7
829 266 5
829 194 10
829 608 10
829 677 4
830 485 6
830 131 2
830 961 7
830 757 3
830 871 3
830 777 4
830 698 6
830 921 3
830 623 6
831 82 8
831 235 3
831 713 7
831 537 10
831 110 6
832 228 7
832 624 3
833 793 5
833 313 8
833 281 8
833 728 9
834 428 2
834 858 5
834 131 7
834 703 1
834 757 9
834 438 5
834 163 9
834 573 9
834 727 10
835 803 3
835 938 3
835 612 2
835 624 8
835 951 10
835 421 3
835 144 4
835 393 7
835 89 9
835 44 5
835 822 1
836 189 1
836 508 10
836 569 8
837 947 6
837 925 7
837 440 4
838 766 5
838 624 7
838 123 3
838 738 3
839 700 7
839 600 4
839 860 8
840 84 7
840 7 4
840 87 7
840 676 7
841 950 1
841 134 10
841 986 7
841 37 7
842 329 1
842 9 8
842 336 4
842 919 5
842 869 9
842 235 3
842 191 8
842 362 9
843 189 5
843 579 8
844 552 9
844 195 10
844 941 7
845 271 8
845 281 10
845 522 7
845 157 8
845 215 5
846 694 5
846 191 2
846 138 10
846 601 5
846 642 3
846 632 7
847 375 9
847 809 10
847 180 10
847 28 3
847 846 9
848 680 9
848 624 3
848 250 9
849 727 4
849 271 4
849 497 6
849 256 8
849 821 3
849 652 6
849 93 5
849 549 4
849 789 4
850 415 8
850 146 2
851 94 10
851 881 6
851 672 8
851 555 7
851 239 9
851 298 9
852 360 1
852 416 2
852 787 7
852 331 8
852 126 9
853 842 8
854 713 4
854 350 5
855 969 2
855 858 9
855 45 4
855 745 4
855 488 7
855 950 4
856 403 8
856 89 5
856 352 7
856 668 5
856 138 7
856 256 2
856 17 10
856 122 6
857 336 1
857 333 5
857 202 4
858 372 2
858 923 5
858 978 2
858 535 2
858 551 8
859 495 2
859 48 9
859 420 4
859 585 1
859 825 4
859 503 2
860 874 2
860 752 5
861 26 6
861 580 5
861 335 6
861 108 5
862 720 5
862 65 4
863 607 5
864 759 7
864 308 4
864 428 6
865 231 4
865 482 4
865 48 7
866 856 5
866 795 5
866 87 3
866 662 8
867 677 10
867 287 2
867 176 6
868 350 1
868 931 2
868 720 5
868 919 6
869 217 1
869 618 1
869 931 5
869 981 1
869 180 2
869 139 6
869 100 9
870 499 4
870 689 7
870 436 9
870 455 5
870 388 1
870 249 2
870 206 2
870 545 7
870 304 3
871 781 9
871 193 4
871 151 9
872 453 3
872 627 1
872 425 6
873 850 5
873 743 6
873 29 7
874 117 8
874 42 5
874 379 10
874 245 6
874 893 7
874 819 3
874 44 8
874 886 10
874 205 10
874 84 7
875 882 9
875 32 10
875 605 7
875 301 7
876 630 4
876 583 6
876 146 2
876 849 8
876 672 10
876 104 6
877 959 4
877 758 10
877 918 8
877 968 10
877 934 8
877 831 1
877 369 9
878 134 10
878 975 2
878 436 10
878 693 10
878 910 4
878 215 6
878 482 8
879 106 10
879 303 1
879 289 2
879 703 4
880 0 9
880 971 7
880 838 5
880 919 2
880 585 10
880 828 4
880 638 4
881 392 2
881 509 6
881 98 1
881 979 2
881 395 4
881 633 7
881 553 3
882 465 6
882 937 4
882 170 10
882 148 3
882 359 2
882 86 1
883 773 4
883 760 2
883 386 6
883 668 10
883 261 3
883 967 2
884 899 8
884 584 4
884 198 5
884 713 9
884 145 4
885 823 7
885 598 3
885 943 6
885 293 6
885 127 6
885 897 2
886 291 6
886 163 7
886 855 10
886 880 7
887 851 8
887 964 4
888 528 3
888 420 8
888 106 2
888 845 9
888 729 9
888 25 7
889 875 9
889 250 9
889 990 3
889 628 3
889 634 1
890 651 10
890 343 10
890 635 7
891 172 7
891 688 3
891 349 5
891 190 1
892 929 8
892 384 4
892 407 2
892 775 10
892 125 6
893 22 2
893 806 7
893 380 6
893 497 10
893 696 4
893 547 9
894 580 2
894 309 7
894 693 8
894 663 6
894 551 8
894 139 1
894 312 8
894 541 10
894 153 8
895 192 4
895 917 2
895 32 5
895 936 8
895 151 4
895 422 6
896 234 3
896 688 7
896 424 4
896 383 10
896 932 9
896 741 8
896 412 8
896 783 10
897 207 10
897 447 3
897 4 4
897 723 7
898 313 5
898 79 9
899 287 3
899 176 7
899 635 4
899 508 8
900 886 2
900 966 8
900 31 3
900 218 10
900 572 2
900 186 9
901 994 4
901 655 1
901 1 4
901 965 2
901 899 4
901 104 3
901 533 7
902 79 10
902 591 10
902 913 5
902 826 10
902 506 4
902 427 8
903 958 7
903 186 2
903 491 9
903 660 6
903 993 2
903 469 3
903 911 1
903 517 1
903 815 5
904 522 2
904 692 4
905 128 7
905 495 3
905 741 3
905 699 2
905 508 2
906 139 5
906 770 4
906 572 5
906 153 6
907 802 8
907 539 9
907 594 5
907 157 8
907 159 5
908 178 1
908 48 7
908 63 5
908 445 6
908 136 6
909 274 1
909 255 7
909 314 6
909 30 3
909 363 10
909 919 8
909 477 7
910 850 6
910 173 3
911 426 8
911 325 1
911 997 6
911 551 1
911 251 7
912 336 6
912 64 3
912 143 7
912 149 7
913 837 7
913 500 8
913 210 4
913 647 10
914 702 7
914 380 1
914 511 10
914 27 2
915 710 8
915 532 10
915 793 2
916 56 10
917 714 10
917 378 5
917 312 7
917 440 9
917 374 4
918 730 1
918 697 9
918 488 1
918 164 4
918 62 10
919 457 1
919 399 5
919 156 6
920 555 1
920 333 4
920 809 9
920 198 2
920 823 10
920 652 10
920 280 6
920 501 7
921 785 9
921 728 2
921 910 9
921 547 4
921 338 4
921 10 6
921 659 2
921 804 10
921 557 7
922 476 2
922 227 8
922 372 1
922 718 8
922 595 4
923 184 7
923 697 4
924 174 7
924 185 2
924 157 5
924 413 1
924 888 4
924 104 8
924 286 1
925 14 5
925 975 4
925 365 7
925 251 8
926 289 3
926 582 10
926 69 2
926 128 10
926 317 6
926 512 9
926 803 5
926 927 7
927 82 5
927 885 10
928 849 2
928 165 9
928 162 10
928 591 2
928 640 5
928 918 1
928 590 1
929 319 1
